Student_ID,Hours_Study,Sleep_Hours,Internships,Projects,CGPA,Placement_Score,Placed
STU_0001,6.4,6.7,1,1,6.39,100.0,1
STU_0002,5.3,6.7,0,3,7.05,100.0,1
STU_0003,6.7,5.0,0,3,6.55,100.0,1
STU_0004,8.2,6.8,1,3,6.59,100.0,1
STU_0005,5.1,8.1,2,4,6.94,100.0,1
STU_0006,5.1,5.7,2,0,8.89,100.0,1
STU_0007,8.3,8.5,3,3,5.69,100.0,1
STU_0008,13.8,7.8,3,3,10.0,100.0,0
STU_0009,4.7,6.3,3,2,8.11,100.0,1
STU_0010,6.5,7.0,4,5,8.96,100.0,1
STU_0011,4.7,9.1,2,2,8.11,100.0,1
STU_0012,4.7,8.1,1,4,7.35,100.0,1
STU_0013,5.9,7.2,2,4,6.82,100.0,1
STU_0014,2.1,6.9,1,0,8.99,94.0,1
STU_0015,2.4,7.3,2,1,8.4,100.0,1
STU_0016,4.5,6.6,0,4,7.21,100.0,1
STU_0017,3.7,4.7,1,2,8.89,100.0,1
STU_0018,6.1,9.7,1,7,7.26,100.0,1
STU_0019,3.9,7.4,0,4,7.8,100.0,1
STU_0020,3.0,7.7,0,4,7.07,92.7,1
STU_0021,8.1,7.1,2,2,8.44,100.0,1
STU_0022,5.1,6.3,1,2,6.61,98.4,1
STU_0023,5.6,7.0,7,2,7.44,100.0,1
STU_0024,2.9,5.3,1,1,7.01,100.0,1
STU_0025,4.5,9.9,1,3,8.12,100.0,1
STU_0026,5.7,5.7,1,3,8.27,100.0,1
STU_0027,3.4,6.0,1,2,6.48,100.0,1
STU_0028,6.2,6.7,4,2,8.29,100.0,1
STU_0029,4.4,8.7,2,1,6.03,86.9,1
STU_0030,5.0,7.2,0,0,10.43,100.0,1
STU_0031,4.4,5.7,1,3,7.19,100.0,1
STU_0032,8.8,,1,4,9.06,100.0,1
STU_0033,5.5,8.1,0,3,8.04,100.0,1
STU_0034,3.6,7.8,1,4,8.09,100.0,1
STU_0035,7.0,8.1,4,3,6.4,100.0,1
STU_0036,3.3,,1,7,8.81,100.0,1
STU_0037,5.9,9.8,2,1,7.86,100.0,1
STU_0038,2.0,6.4,4,3,8.36,100.0,1
STU_0039,3.1,9.1,2,0,7.69,100.0,1
